Job_Title,Average_Salary,Years_Experience,Education_Level,AI_Exposure_Index,Tech_Growth_Factor,Automation_Probability_2030,Risk_Category,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Skill_6,Skill_7,Skill_8,Skill_9,Skill_10,domain,Realistic_Salary_INR,Fresher_Salary_INR,Top_Skills,Job_Type,Work_Mode,Industry_Demand_2025,Learning_Difficulty,Skill_Gap_Index,Degree_Needed,AI_Assist_Boost,Stress_Level,WLB_Score,Future_Category
Retail Worker,28768.0,4,Master's,0.95,1.2,0.71,High,0.91,0.48,0.46,0.57,0.15,0.47,0.83,0.02,0.27,0.0,data,299125.0,85813.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Field Work,Remote,69,7,59,PhD,0.72,9,7,Declining
AI Engineer,8086.0,0,High School,0.73,1.3,0.29,Low,0.61,0.25,0.92,0.78,0.57,0.7,0.92,0.71,0.37,0.71,software,280106.0,43877.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Technical,Hybrid,96,3,58,Master,0.86,4,6,High Growth
Research Scientist,33461.0,5,PhD,0.39,0.91,0.09,Low,0.02,0.13,0.65,0.8,0.99,0.35,0.6,0.94,0.17,0.72,data,607869.0,121912.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Technical,Onsite,75,9,47,Diploma,0.35,4,3,Stable
Truck Driver,11707.0,1,Bachelor's,0.09,1.36,0.9,High,0.03,0.09,0.05,0.33,0.51,0.53,0.27,0.91,0.37,0.05,general,152584.0,38804.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Field Work,Hybrid,98,6,17,PhD,0.18,5,5,Risky
Retail Worker,33683.0,2,Master's,0.53,0.91,0.77,High,0.13,0.82,1.0,0.33,0.38,0.62,0.72,0.39,0.9,0.56,data,314665.0,122627.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Field Work,Remote,76,6,32,Bachelor,0.9,7,4,Declining
Software Engineer,19218.0,4,Bachelor's,0.65,1.45,0.62,Medium,0.04,0.33,0.47,0.31,0.7,0.83,0.73,0.99,0.27,0.87,software,133887.0,67860.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Creative,Remote,64,6,92,PhD,0.69,2,5,Stable
Mechanic,28950.0,1,Bachelor's,0.36,1.23,0.34,Medium,0.79,0.53,0.29,0.66,0.64,0.21,0.03,0.43,0.57,0.88,construction,84682.0,56999.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Field Work,Onsite,50,8,51,Master,0.35,4,5,Stable
AI Engineer,32616.0,0,Bachelor's,0.53,1.25,0.16,Low,0.75,0.2,0.37,0.63,0.02,0.72,0.84,0.4,0.45,0.85,software,256639.0,46064.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Management,Onsite,65,4,92,PhD,0.67,5,5,Risky
Marketing Manager,27680.0,6,Master's,0.29,0.82,0.57,Medium,0.56,0.16,0.31,0.9,0.69,0.99,0.77,0.94,0.22,0.77,sales,115661.0,34513.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Technical,Hybrid,77,8,46,Master,0.26,4,3,Risky
Mechanic,22538.0,4,Master's,0.67,0.97,0.44,Medium,0.86,0.85,0.02,0.61,0.37,0.42,0.83,0.31,0.94,0.18,construction,127565.0,37073.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Operations,Onsite,78,6,76,Diploma,0.59,7,3,Declining
Retail Worker,9976.0,5,Master's,0.67,0.75,0.78,High,0.83,0.76,0.33,0.53,0.06,0.21,0.49,0.09,0.84,0.72,data,494624.0,73566.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Field Work,Hybrid,86,8,12,Diploma,0.11,6,4,Declining
Truck Driver,34682.0,1,High School,0.56,1.09,0.79,High,0.28,0.27,0.17,0.33,0.2,0.63,0.57,0.38,0.33,0.24,general,83324.0,67203.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Field Work,Remote,64,9,31,Master,0.32,3,8,Declining
Graphic Designer,35443.0,5,Master's,0.92,1.19,0.6,Medium,0.83,0.35,0.06,0.62,0.19,0.57,0.74,0.78,0.3,0.51,general,73666.0,53602.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Field Work,Remote,75,3,86,None,0.79,4,9,High Growth
Research Scientist,31875.0,7,Master's,0.82,1.26,0.3,Low,0.01,0.44,0.26,0.12,0.91,1.0,0.18,0.04,0.28,0.83,data,640948.0,116019.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Creative,Remote,51,5,76,PhD,0.8,5,6,Declining
UX Researcher,13186.0,4,Master's,0.06,0.55,0.47,Medium,0.93,0.29,0.43,0.1,0.49,0.7,0.27,0.3,0.84,0.01,general,158775.0,45457.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Management,Onsite,79,7,69,None,0.44,8,6,Risky
Software Engineer,34638.0,6,PhD,0.39,0.8,0.56,Medium,0.83,0.56,0.03,0.46,0.46,0.54,0.67,0.02,0.5,0.59,software,177155.0,109762.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Field Work,Hybrid,51,5,50,Bachelor,0.49,5,3,Stable
Nurse,7323.0,6,Master's,0.67,0.73,0.13,Low,0.96,0.35,0.35,0.6,0.97,0.98,0.58,0.0,0.9,0.57,health,179151.0,40982.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Creative,Hybrid,67,3,57,None,0.74,5,8,High Growth
Software Engineer,11846.0,4,Bachelor's,0.9,0.77,0.41,Medium,0.3,0.61,0.44,0.73,0.89,0.67,0.2,0.93,0.26,0.15,software,323076.0,112466.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Creative,Hybrid,51,6,29,None,0.79,7,9,High Growth
Mechanic,8704.0,2,High School,0.56,0.61,0.36,Medium,0.3,0.28,0.6,0.82,0.76,0.26,0.25,0.97,0.01,0.88,construction,97515.0,40855.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Creative,Onsite,71,5,81,Bachelor,0.15,4,4,Risky
Lawyer,29355.0,3,Master's,0.95,0.84,0.48,Medium,0.71,0.59,0.32,0.55,0.73,0.04,0.01,0.46,0.13,0.66,general,111199.0,29873.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Healthcare,Remote,80,4,64,Bachelor,0.88,6,3,Declining
Chef,9427.0,6,PhD,0.43,0.7,0.52,Medium,0.12,0.02,0.05,0.95,0.14,0.71,0.07,0.11,0.51,0.46,general,188046.0,47165.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Healthcare,Hybrid,89,5,37,PhD,0.29,5,3,Declining
Construction Worker,19267.0,2,Bachelor's,0.94,1.28,0.85,High,0.45,0.36,0.95,0.6,0.58,0.23,0.05,0.95,0.31,0.44,construction,124466.0,29189.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Creative,Onsite,70,7,34,None,0.2,5,3,High Growth
UX Researcher,23605.0,1,High School,0.84,0.53,0.63,Medium,0.14,0.89,0.73,0.16,0.57,0.31,0.18,0.86,0.4,0.4,general,113320.0,34088.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Non-Technical,Remote,91,3,97,Diploma,0.48,2,9,Risky
Financial Analyst,33829.0,0,High School,0.38,1.37,0.45,Medium,0.95,0.95,0.14,0.18,0.86,0.39,0.0,0.27,0.6,0.8,general,89797.0,63103.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Management,Remote,58,5,11,Bachelor,0.5,2,5,Stable
Retail Worker,34832.0,3,Master's,0.11,1.42,0.89,High,0.59,0.77,0.43,0.76,0.37,0.24,0.73,0.42,0.98,0.35,data,409659.0,116017.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Creative,Remote,56,5,75,Diploma,0.48,8,3,High Growth
Nurse,12366.0,2,Bachelor's,0.93,0.74,0.25,Low,0.43,0.92,0.45,0.74,0.47,0.23,0.2,0.43,0.76,0.61,health,181859.0,45830.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Non-Technical,Onsite,90,7,49,Diploma,0.25,7,7,Declining
Retail Worker,7342.0,4,Master's,0.28,0.98,0.71,High,0.82,0.99,0.41,0.01,0.17,0.65,0.61,0.79,0.25,0.76,data,279046.0,108061.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Healthcare,Hybrid,88,3,71,Diploma,0.73,9,7,Stable
Retail Worker,34266.0,4,Master's,0.32,1.05,0.74,High,0.45,0.88,0.42,0.84,0.59,0.19,0.58,0.51,0.4,0.12,data,580088.0,126265.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Field Work,Onsite,51,8,21,PhD,0.25,3,7,Risky
Marketing Manager,29518.0,0,High School,0.07,0.6,0.47,Medium,0.31,0.93,0.38,0.76,0.53,0.7,0.26,0.94,0.53,0.83,sales,75636.0,42635.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Non-Technical,Onsite,64,9,63,Master,0.68,6,9,Declining
Research Scientist,32910.0,4,Master's,0.1,1.17,0.05,Low,0.48,0.19,0.63,0.98,0.46,0.82,0.51,0.5,0.93,0.89,data,644118.0,77539.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Creative,Hybrid,64,3,94,Bachelor,0.77,4,6,Stable
Customer Support,10650.0,1,Bachelor's,0.12,0.8,0.94,High,0.63,0.55,0.71,0.42,0.76,0.39,0.83,0.27,0.28,0.52,general,128311.0,39924.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Non-Technical,Hybrid,97,8,60,Diploma,0.68,6,6,Stable
Nurse,12910.0,3,Master's,0.65,0.86,0.11,Low,0.47,0.56,0.14,0.56,0.32,0.39,0.28,0.93,0.68,0.26,health,163436.0,57019.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Field Work,Hybrid,51,7,39,PhD,0.13,8,9,High Growth
Security Guard,19368.0,2,Bachelor's,0.85,0.9,0.91,High,0.15,0.82,0.54,0.22,0.41,0.99,0.78,0.58,0.12,0.42,general,154970.0,63196.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Management,Remote,94,5,57,None,0.15,4,6,Stable
Graphic Designer,28339.0,13,PhD,0.07,1.04,0.66,Medium,0.68,0.25,0.57,0.94,0.72,0.69,0.97,0.8,0.14,0.35,general,125382.0,59231.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Management,Hybrid,54,3,97,Master,0.31,5,9,Stable
Nurse,30186.0,6,Master's,0.49,0.61,0.16,Low,0.7,1.0,0.32,0.51,0.88,0.36,0.11,0.95,0.49,0.5,health,226379.0,49586.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Healthcare,Onsite,81,3,54,None,0.29,5,7,High Growth
Data Scientist,22504.0,9,PhD,0.0,1.43,0.44,Medium,0.4,0.17,0.38,0.8,0.8,0.94,0.4,0.71,0.51,0.8,data,566464.0,94379.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Creative,Hybrid,76,6,78,Master,0.12,6,5,Declining
Truck Driver,25336.0,0,Bachelor's,0.37,0.84,0.76,High,0.58,0.96,0.2,0.1,0.12,0.78,0.35,0.22,0.35,0.65,general,180630.0,29749.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Healthcare,Hybrid,56,3,93,None,0.51,6,3,Declining
Teacher,10987.0,4,Bachelor's,0.74,0.84,0.16,Low,0.1,0.07,0.46,0.3,0.61,0.04,0.12,0.87,0.57,0.71,education,92108.0,53383.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Creative,Onsite,53,8,44,None,0.8,9,6,Declining
Construction Worker,30549.0,0,High School,0.46,1.26,0.83,High,0.22,0.34,0.49,0.32,0.34,0.34,0.12,0.08,0.05,0.11,construction,44453.0,54929.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Creative,Remote,79,5,83,Master,0.74,4,5,Declining
Security Guard,25888.0,4,Master's,0.59,0.69,0.92,High,0.81,0.52,0.72,0.37,0.04,0.9,0.13,0.95,0.57,0.31,general,77102.0,58154.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Field Work,Onsite,62,9,29,PhD,0.51,7,9,High Growth
AI Engineer,18237.0,7,PhD,0.5,0.52,0.14,Low,0.74,0.51,0.24,0.34,0.86,0.53,0.53,0.96,0.32,0.48,software,127469.0,84253.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Operations,Remote,89,3,27,Master,0.66,5,4,Stable
HR Specialist,14466.0,3,Master's,0.76,0.77,0.36,Medium,0.7,0.26,0.92,0.13,0.32,0.05,0.7,0.89,0.64,0.94,general,97398.0,32285.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Non-Technical,Hybrid,61,8,99,None,0.43,7,4,High Growth
Financial Analyst,32950.0,1,High School,0.09,1.34,0.64,Medium,0.83,0.8,0.36,0.22,0.93,0.31,0.4,0.7,0.29,0.82,general,184125.0,33458.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Non-Technical,Onsite,80,5,11,Bachelor,0.8,3,8,Stable
Graphic Designer,35346.0,6,PhD,0.79,1.1,0.53,Medium,0.46,0.28,0.46,0.45,0.58,0.28,0.08,0.15,0.7,0.02,general,84473.0,45828.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Operations,Remote,99,6,81,None,0.39,9,6,Stable
Mechanic,10997.0,11,PhD,0.62,0.98,0.46,Medium,0.99,0.82,0.43,0.73,0.27,0.1,0.35,0.4,0.02,0.81,construction,149014.0,47497.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Operations,Remote,69,9,28,PhD,0.47,6,5,Risky
AI Engineer,8754.0,1,Bachelor's,0.58,0.57,0.09,Low,0.89,0.61,0.95,1.0,0.37,0.3,0.86,1.0,0.63,0.8,software,337583.0,89881.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Technical,Remote,52,7,47,Diploma,0.58,8,8,High Growth
Retail Worker,15013.0,6,Master's,0.36,1.07,0.91,High,0.69,0.02,0.34,0.14,0.23,0.91,0.04,0.22,0.31,0.62,data,654832.0,134869.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Non-Technical,Onsite,95,7,93,Bachelor,0.86,8,8,High Growth
Research Scientist,21170.0,3,Bachelor's,0.22,0.66,0.11,Low,0.5,0.27,0.95,0.46,0.06,0.73,0.33,0.65,0.28,0.57,data,227319.0,114124.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Technical,Remote,95,3,60,Diploma,0.54,9,5,Stable
Lawyer,35296.0,5,PhD,0.93,0.76,0.43,Medium,0.46,0.93,0.9,0.09,0.13,0.5,0.11,0.35,0.15,0.64,general,182369.0,47588.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Non-Technical,Onsite,70,7,76,PhD,0.56,2,6,Risky
Lawyer,9288.0,2,High School,1.0,0.88,0.54,Medium,0.86,0.12,0.69,0.41,0.21,0.4,0.08,0.7,0.25,0.31,general,109368.0,71282.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Healthcare,Hybrid,75,3,36,PhD,0.27,6,5,High Growth
Data Scientist,25822.0,5,Master's,0.86,0.99,0.53,Medium,0.57,0.41,0.19,0.75,0.13,0.1,0.71,0.21,0.31,0.48,data,630651.0,119412.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Technical,Remote,94,4,48,None,0.11,5,7,Risky
Security Guard,18018.0,6,PhD,0.71,1.12,0.86,High,0.71,0.29,0.32,0.44,0.31,0.98,0.81,0.16,0.01,0.04,general,170274.0,33368.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Operations,Remote,53,8,81,Master,0.51,3,3,High Growth
Software Engineer,22018.0,2,Bachelor's,0.11,1.03,0.64,Medium,0.74,0.22,0.4,0.51,0.81,0.84,0.91,0.51,0.69,0.11,software,245759.0,75469.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Technical,Hybrid,59,6,60,PhD,0.43,6,4,Declining
Graphic Designer,19422.0,6,PhD,0.25,0.93,0.55,Medium,0.26,0.05,0.01,0.02,0.01,0.11,0.24,0.22,0.99,0.31,general,157500.0,44723.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Operations,Hybrid,80,9,52,None,0.57,4,7,Risky
Research Scientist,17400.0,12,PhD,0.55,1.36,0.22,Low,0.3,0.56,0.71,0.73,0.67,0.87,0.87,0.58,0.43,0.64,data,695905.0,122861.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Technical,Onsite,98,3,13,Master,0.61,9,8,Declining
Data Scientist,12571.0,12,PhD,0.01,1.49,0.37,Medium,0.47,0.87,0.23,0.48,0.13,0.4,0.18,0.36,0.37,0.99,data,559147.0,89273.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Non-Technical,Hybrid,58,5,74,None,0.12,9,8,Stable
Graphic Designer,8245.0,3,Bachelor's,0.11,1.23,0.32,Medium,0.03,0.11,0.97,0.94,0.19,0.16,0.24,0.52,0.57,0.22,general,162086.0,68683.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Technical,Remote,74,9,96,Diploma,0.27,7,8,High Growth
UX Researcher,7688.0,4,Master's,0.31,1.42,0.56,Medium,0.44,0.79,0.82,0.29,0.34,0.94,0.16,0.04,0.45,0.8,general,94513.0,68767.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Management,Remote,66,8,36,Diploma,0.83,4,6,High Growth
HR Specialist,7840.0,6,PhD,0.92,1.03,0.34,Medium,0.59,0.78,0.09,0.17,0.01,0.59,0.89,0.67,0.98,0.06,general,75827.0,32827.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Non-Technical,Remote,84,3,41,None,0.87,6,6,Stable
Financial Analyst,24178.0,4,Bachelor's,0.81,0.81,0.69,Medium,0.29,0.89,0.88,0.76,0.56,0.12,0.53,0.36,0.79,0.76,general,86166.0,41719.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Management,Remote,94,5,16,Diploma,0.11,4,9,High Growth
Doctor,30854.0,4,Master's,0.71,0.98,0.2,Low,0.99,0.6,0.79,0.73,0.7,0.72,0.45,0.47,0.47,0.03,health,235462.0,36068.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Healthcare,Remote,88,3,92,Master,0.52,6,8,Risky
Data Scientist,14394.0,4,Master's,0.15,1.39,0.41,Medium,0.14,0.12,0.7,0.01,0.47,0.12,0.85,0.96,0.96,0.44,data,438064.0,140272.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Technical,Onsite,90,8,42,Bachelor,0.13,9,8,Risky
Teacher,21725.0,1,High School,0.6,0.85,0.16,Low,0.06,0.8,0.24,0.46,0.48,0.56,0.82,0.69,0.66,0.53,education,105832.0,40864.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Technical,Onsite,85,9,76,None,0.39,4,9,High Growth
Software Engineer,15954.0,6,Master's,0.4,1.46,0.7,Medium,0.73,0.23,0.1,0.41,0.86,0.72,0.88,0.62,0.13,0.11,software,255258.0,75917.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Technical,Onsite,78,4,87,Bachelor,0.83,8,6,Declining
Software Engineer,19746.0,7,PhD,0.24,1.23,0.57,Medium,0.32,0.18,0.1,0.74,0.45,0.32,0.86,0.59,0.52,0.74,software,271713.0,89131.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Creative,Onsite,81,8,39,None,0.45,7,3,Risky
Chef,8098.0,6,Master's,0.69,0.94,0.45,Medium,0.77,0.52,0.7,0.89,0.92,0.28,0.19,0.26,0.75,0.37,general,104508.0,70547.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Technical,Onsite,84,4,94,PhD,0.39,8,6,Declining
Marketing Manager,26701.0,9,PhD,0.1,0.83,0.35,Medium,0.16,0.68,0.02,0.12,0.84,0.84,0.33,0.09,0.7,0.36,sales,186510.0,55638.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Field Work,Hybrid,97,4,96,None,0.87,9,4,Stable
Software Engineer,31886.0,6,Master's,0.16,0.64,0.54,Medium,0.9,0.79,0.55,0.42,0.62,0.44,0.25,0.68,0.87,0.37,software,141933.0,44944.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Healthcare,Onsite,84,7,51,Diploma,0.42,8,3,Risky
AI Engineer,23955.0,2,High School,0.43,0.9,0.06,Low,0.7,0.81,0.66,0.15,0.1,0.57,0.4,0.43,0.97,0.72,software,189448.0,92657.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Operations,Onsite,58,6,80,Master,0.37,4,6,Risky
UX Researcher,21686.0,7,Master's,0.02,0.53,0.57,Medium,0.84,0.71,0.41,0.03,0.97,0.99,0.55,0.07,0.54,0.89,general,136044.0,63270.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Operations,Hybrid,55,6,28,None,0.82,8,7,Stable
AI Engineer,31270.0,1,High School,0.72,0.58,0.08,Low,0.13,0.9,0.53,0.79,0.12,0.93,0.82,0.22,0.87,0.26,software,353914.0,50405.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Operations,Hybrid,94,8,58,Master,0.64,9,5,Risky
Customer Support,25357.0,1,Bachelor's,0.84,0.67,0.72,High,0.4,0.58,0.85,0.97,0.44,0.06,0.75,0.57,0.45,0.31,general,83009.0,71969.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Field Work,Hybrid,82,7,70,None,0.61,5,5,Risky
Doctor,25915.0,5,Master's,0.34,1.26,0.19,Low,0.88,0.54,0.24,0.85,0.56,0.21,0.62,0.36,0.84,0.45,health,194086.0,44134.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Field Work,Remote,70,4,80,PhD,0.57,2,4,High Growth
Marketing Manager,8154.0,5,PhD,0.1,0.9,0.69,Medium,0.81,0.16,0.28,0.33,0.65,0.76,0.75,0.51,0.81,0.44,sales,120630.0,46409.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Field Work,Onsite,94,3,97,Master,0.55,9,7,Risky
Truck Driver,17221.0,8,PhD,0.56,1.45,0.9,High,0.58,0.65,0.93,0.43,0.33,0.98,0.86,0.32,0.46,0.42,general,120549.0,46058.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Healthcare,Remote,78,9,47,Diploma,0.75,5,6,Stable
Graphic Designer,25045.0,4,Master's,0.96,0.9,0.65,Medium,0.19,0.55,0.02,0.76,0.58,0.63,0.05,0.21,0.07,0.29,general,180220.0,51503.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Non-Technical,Remote,88,4,81,None,0.67,6,7,Risky
Construction Worker,8467.0,0,Bachelor's,0.44,0.75,0.89,High,0.63,0.77,0.32,0.74,0.86,0.35,0.34,0.9,0.05,0.35,construction,141445.0,57481.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Creative,Remote,97,5,60,Master,0.2,4,5,Declining
Research Scientist,27971.0,1,Bachelor's,0.03,0.61,0.16,Low,0.69,0.29,0.85,0.44,0.97,0.95,0.77,0.93,0.71,0.9,data,465443.0,86719.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Management,Hybrid,69,7,82,Bachelor,0.89,8,8,High Growth
AI Engineer,31450.0,2,Bachelor's,0.35,1.25,0.16,Low,0.84,0.88,0.3,0.82,0.15,0.33,0.52,0.23,0.58,0.58,software,359050.0,72918.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Technical,Remote,69,3,49,PhD,0.12,6,3,Declining
Software Engineer,32181.0,2,Bachelor's,0.8,1.13,0.43,Medium,0.23,0.88,0.84,0.23,0.04,0.8,0.62,0.1,0.59,0.45,software,320642.0,108992.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Non-Technical,Remote,55,4,81,Bachelor,0.26,7,7,High Growth
AI Engineer,21837.0,13,PhD,0.21,0.95,0.09,Low,0.96,0.78,0.74,0.69,0.42,0.92,0.07,0.8,0.22,0.32,software,229129.0,76369.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Non-Technical,Onsite,69,5,40,Master,0.33,6,5,Risky
Truck Driver,28382.0,0,Bachelor's,0.78,1.34,0.85,High,0.4,0.95,0.25,0.8,0.61,0.38,0.0,0.45,0.28,0.1,general,162003.0,48605.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Non-Technical,Onsite,86,6,70,None,0.83,5,8,Declining
Teacher,32230.0,3,Bachelor's,0.35,1.11,0.26,Low,0.18,0.42,0.39,0.51,0.81,0.55,0.85,0.52,0.6,0.44,education,146137.0,40365.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Operations,Remote,96,8,25,Bachelor,0.18,4,8,High Growth
Lawyer,13360.0,0,Bachelor's,0.92,1.14,0.63,Medium,0.06,0.91,0.19,0.26,0.05,0.97,0.85,0.91,0.85,0.48,general,196112.0,56839.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Operations,Hybrid,69,7,55,PhD,0.26,6,3,High Growth
